CST,NomeCst,CST_IndExigeTrib,CST_IndMonofasica,CST_IndReducaoAliq,CST_IndDiferimento,CST_IndReducaoBc,CST_IndTransferenciaCred,CST_IndCredPresIbsZfm,CST_IndAjusteCompet,CST_DthPublicacao,CST_DthIniVig,CST_DthFimVig,cClassTrib,NomeClassTrib,NomeReduzido,IndTribRegular,IndPermiteCredPres,PercRedIbs,PercRedCbs,TipoAliq,IndMonoRetem,IndMonoRet,IndMonoDif,IndMonoVal,IndEstornoCred,IndDere,IndNfe,IndNfce,IndCte,IndCteos,IndBpe,IndNf3e,IndNfcom,IndNfse,IndBpetm,IndBpeta,IndNfag,IndNfsvia,IndNfabi,IndNfgas,NroAnexo,TexUrlLegislacao,PossuiIndDfe,cClassTrib_DthPublicacao,cClassTrib_DthIniVig,cClassTrib_DthFimVig,QtdAnexos
000,Tributação integral,True,False,False,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,000001,Situações tributadas integralmente pelo IBS e CBS.,Situações tributadas integralmente pelo IBS e CBS.,False,False,0.0,0.0,2,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art4,True,2025-05-05T00:00:00,2025-05-05T00:00:00,,0
000,Tributação integral,True,False,False,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,000002,"Exploração de via, observado o art. 11 da Lei Complementar nº 214, de 2025.",Exploração de via,False,False,0.0,0.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,90111,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art11,True,2026-04-15T00:00:00,2025-05-05T00:00:00,,4
000,Tributação integral,True,False,False,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,000003,"Regime automotivo - projetos incentivados, observado o art. 311 da Lei Complementar nº 214, de 2025.",Regime automotivo - projetos incentivados (art. 311),False,True,0.0,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art311,True,2025-05-05T00:00:00,2025-05-05T00:00:00,,0
000,Tributação integral,True,False,False,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,000004,"Regime automotivo - projetos incentivados, observado o art. 312 da Lei Complementar nº 214, de 2025.",Regime automotivo - projetos incentivados (art. 312),False,True,0.0,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art312,True,2025-05-05T00:00:00,2025-05-05T00:00:00,,0
000,Tributação integral,True,False,False,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,000005,"Operação com EAC destinado à mistura com gasolina A, mas com saída do biocombustível com destinação diversa, observado o art. 179 da Lei Complementar nº 214, de 2025.","Operação com EAC destinado à mistura com gasolina A, mas com saída do biocombustível com destinação diversa",False,False,0.0,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,"https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art179
",True,2026-04-15T00:00:00,2026-01-01T00:00:00,,0
010,Tributação com alíquotas uniformes,True,False,False,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,010001,"Operações do FGTS não realizadas pela Caixa Econômica Federal, observado o art. 212 da Lei Complementar nº 214, de 2025.",Operações do FGTS não realizadas pela Caixa Econômica Federal,False,False,0.0,0.0,5,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art212,True,2025-05-05T00:00:00,2025-05-05T00:00:00,,0
010,Tributação com alíquotas uniformes,True,False,False,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,010002,Operações do serviço financeiro,Operações do serviço financeiro,False,False,0.0,0.0,5,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,"https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art233
",True,2025-11-19T00:00:00,2025-09-30T00:00:00,,0
011,Tributação com alíquotas uniformes reduzidas,True,False,True,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,011001,"Planos de assistência funerária, observado o art. 236 da Lei Complementar nº 214, de 2025.",Planos de assistência funerária.,False,False,60.0,60.0,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art236,True,2025-05-05T00:00:00,2025-05-05T00:00:00,,0
011,Tributação com alíquotas uniformes reduzidas,True,False,True,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,011002,"Planos de assistência à saúde, observado o art. 237 da Lei Complementar nº 214, de 2025.",Planos de assistência à saúde,False,False,60.0,60.0,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art237,True,2025-05-05T00:00:00,2025-05-05T00:00:00,,0
011,Tributação com alíquotas uniformes reduzidas,True,False,True,False,False,False,False,False,2025-05-12T00:00:00,2025-05-01T00:00:00,,011003,"Intermediação de planos de assistência à saúde, observado o art. 240 da Lei Complementar nº 214, de 2025.",Intermediação de planos de assistência à saúde,False,False,60.0,60.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,92401,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp214.htm#art240,True,2026-04-15T13:31:21,2025-05-05T00:00:00,,4
