Código,Descrição,Apropria DFE,Apropria Evento,Deduz Crédito Presumido,Tributo,Aplicável,Início Vigência,Fim Vigência
1,"Crédito presumido da aquisição de bens e serviços de produtor rural e produtor rural integrado não contribuinte, observado o art. 168 da Lei Complementar nº 214, de 2025.",Sim,Sim,Não,IBS,Sim,01/01/2027,Indeterminado
1,"Crédito presumido da aquisição de bens e serviços de produtor rural e produtor rural integrado não contribuinte, observado o art. 168 da Lei Complementar nº 214, de 2025.",Sim,Sim,Não,CBS,Sim,01/01/2027,Indeterminado
2,"Crédito presumido da aquisição de serviço de transportador autônomo de carga pessoa física não contribuinte, observado o art. 169 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,IBS,Sim,01/01/2027,Indeterminado
2,"Crédito presumido da aquisição de serviço de transportador autônomo de carga pessoa física não contribuinte, observado o art. 169 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,CBS,Sim,01/01/2027,Indeterminado
3,"Crédito presumido da aquisição de resíduos e demais materiais destinados à reciclagem, reutilização ou logística reversa adquiridos de pessoa física, cooperativa ou outra forma de organização popular, observado o art. 170 da Lei Complementar nº 214, de 2025.",Sim,Sim,Não,IBS,Sim,01/01/2029,Indeterminado
3,"Crédito presumido da aquisição de resíduos e demais materiais destinados à reciclagem, reutilização ou logística reversa adquiridos de pessoa física, cooperativa ou outra forma de organização popular, observado o art. 170 da Lei Complementar nº 214, de 2025.",Sim,Sim,Não,CBS,Sim,01/01/2027,Indeterminado
4,"Crédito presumido da aquisição de bens móveis usados de pessoa física não contribuinte para revenda, observado o art. 171 da Lei Complementar nº 214, de 2025.",Sim,Sim,Sim,IBS,Sim,01/01/2027,Indeterminado
4,"Crédito presumido da aquisição de bens móveis usados de pessoa física não contribuinte para revenda, observado o art. 171 da Lei Complementar nº 214, de 2025.",Sim,Sim,Sim,CBS,Sim,01/01/2027,Indeterminado
5,"Crédito presumido no regime automotivo, observado o art. 311 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,IBS,Não,,
5,"Crédito presumido no regime automotivo, observado o art. 311 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,CBS,Sim,01/01/2027,Indeterminado
6,"Crédito presumido no regime automotivo, observado o art. 312 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,IBS,Não,,
6,"Crédito presumido no regime automotivo, observado o art. 312 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,CBS,Sim,01/01/2027,Indeterminado
7,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 444 da Lei Complementar nº 214, de 2025.",Sim,Não,Sim,IBS,Sim,01/01/2027,Indeterminado
7,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 444 da Lei Complementar nº 214, de 2025.",Sim,Não,Sim,CBS,Não,,
8,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 447 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,IBS,Sim,Não informado,Indeterminado
8,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 447 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,CBS,Não,,
9,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 449 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,IBS,Sim,01/01/2029,Indeterminado
9,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 449 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,CBS,Não,,
10,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 450 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,IBS,Não,,
10,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 450 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,CBS,Sim,01/01/2027,Indeterminado
11,"Crédito presumido na aquisição por contribuinte na Área de Livre Comércio, observado o art. 462 da Lei Complementar nº 214, de 2025.",Sim,Não,Sim,IBS,Sim,01/01/2027,Indeterminado
11,"Crédito presumido na aquisição por contribuinte na Área de Livre Comércio, observado o art. 462 da Lei Complementar nº 214, de 2025.",Sim,Não,Sim,CBS,Não,,
12,"Crédito presumido na aquisição por contribuinte na Área de Livre Comércio, observado o art. 465 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,IBS,Sim,01/01/2029,Indeterminado
12,"Crédito presumido na aquisição por contribuinte na Área de Livre Comércio, observado o art. 465 da Lei Complementar nº 214, de 2025.",Não,Sim,Não,CBS,Não,,
13,"Crédito presumido na aquisição pela indústria na Área de Livre Comércio, observado o art. 467 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,IBS,Não,,
13,"Crédito presumido na aquisição pela indústria na Área de Livre Comércio, observado o art. 467 da Lei Complementar nº 214, de 2025.",Sim,Não,Não,CBS,Sim,01/01/2027,Indeterminado
