_numero_secao,Código,Descrição,Apropria DFE,Apropria Evento,Deduz Crédito Presumido,Aplicável,Início Vigência,Fim Vigência,Vigência dos Tributos
1,1,"Crédito presumido da aquisição de bens e serviços de produtor rural e produtor rural integrado não contribuinte, observado o art. 168 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Sim,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2027,Indeterminado CBS (Contribuição sobre Bens e Serviços),
2,2,"Crédito presumido da aquisição de serviço de transportador autônomo de carga pessoa física não contribuinte, observado o art. 169 da Lei Complementar nº 214, de 2025. Configurações:",Não,Sim,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2027,Indeterminado CBS (Contribuição sobre Bens e Serviços),
3,3,"Crédito presumido da aquisição de resíduos e demais materiais destinados à reciclagem, reutilização ou logística reversa adquiridos de pessoa física, cooperativa ou outra forma de organização popular, observado o art. 170 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Sim,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2029,Indeterminado CBS (Contribuição sobre Bens e Serviços),
4,4,"Crédito presumido da aquisição de bens móveis usados de pessoa física não contribuinte para revenda, observado o art. 171 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Sim,Sim Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2027,Indeterminado CBS (Contribuição sobre Bens e Serviços),
5,5,"Crédito presumido no regime automotivo, observado o art. 311 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Não,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Não CBS (Contribuição sobre Bens e Serviços),01/01/2027,Indeterminado,
6,6,"Crédito presumido no regime automotivo, observado o art. 312 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Não,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Não CBS (Contribuição sobre Bens e Serviços),01/01/2027,Indeterminado,
7,7,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 444 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Não,Sim Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2027,Indeterminado CBS (Contribuição sobre Bens e Serviços),
8,8,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 447 da Lei Complementar nº 214, de 2025. Configurações:",Não,Sim,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,Não informado,Indeterminado CBS (Contribuição sobre Bens e Serviços),
9,9,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 449 da Lei Complementar nº 214, de 2025. Configurações:",Não,Sim,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2029,Indeterminado CBS (Contribuição sobre Bens e Serviços),
10,10,"Crédito presumido na aquisição por contribuinte na Zona Franca de Manaus, observado o art. 450 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Não,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Não CBS (Contribuição sobre Bens e Serviços),01/01/2027,Indeterminado,
11,11,"Crédito presumido na aquisição por contribuinte na Área de Livre Comércio, observado o art. 462 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Não,Sim Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2027,Indeterminado CBS (Contribuição sobre Bens e Serviços),
12,12,"Crédito presumido na aquisição por contribuinte na Área de Livre Comércio, observado o art. 465 da Lei Complementar nº 214, de 2025. Configurações:",Não,Sim,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Sim,01/01/2029,Indeterminado CBS (Contribuição sobre Bens e Serviços),
13,13,"Crédito presumido na aquisição pela indústria na Área de Livre Comércio, observado o art. 467 da Lei Complementar nº 214, de 2025. Configurações:",Sim,Não,Não Vigência dos Tributos: IBS (Imposto sobre Bens e Serviços),Não CBS (Contribuição sobre Bens e Serviços),01/01/2027,Indeterminado,
