CÓDIGO,CST 00,CST 10,CST 20,CST 30,CST 40,CST 41,CST 50,CST 51,CST 60,CST 70,CST 90,DT INÍCIO,DT FINAL,DESCRIÇÃO,OBSERVAÇÃO,col_16
NULO,SIM,SIM,,,,,,,SIM,,SIM,2018-08-01 00:00:00,,SEM PREENCHIMENTO do cBenef,,
SEM CBENEF,,,,,,,,,,,SIM,2018-08-01 00:00:00,,Item sem cBenef e UF exige cBenef para o CST,"Informar a tag, preenchendo com o literal SEM CBENEF",
PR800000,,,,SIM,,SIM,,,,,,1082018,,Imunidade ou não incidência do imposto reconhecida judicialmente,Imunidade ou não incidência,
PR800001,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso I do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800002,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso II do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800003,,,,SIM,,SIM,,,,,,1082018,,Não incidência de que trata o inciso III do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800004,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso IV do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800005,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso V do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800006,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso VI do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800007,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso VII do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800008,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso VIII do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800009,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso IX do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800010,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso X do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800011,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso XI do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800012,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso XIII do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800013,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso XIV do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800014,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso XV do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800015,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso I do parágrafo único do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800016,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso II do parágrafo único do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800017,,,,,,SIM,,,,,,1082018,,Não incidência de que trata o inciso XII do “caput” do art. 3º do RICMS/2017,Imunidade ou não incidência,
PR800018,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme art. 140 do RICMS/2017,Não tributado,
PR800019,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  inciso II do § 3º do art. 237 e art. 13 do Anexo VIII do RICMS/2017,Não tributado,
PR800020,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme § 5º do art. 237  do RICMS/2017,Não tributado,
PR800021,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme alínea 'b' do inciso I do § 11 do art. 237  do RICMS/2017,Não tributado,
PR800022,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme § 2º do art. 395  do RICMS/2017,Não tributado,
PR800023,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  inciso I do art. 397  do RICMS/2017,Não tributado,
PR800024,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  § 1º do art. 411  do RICMS/2017,Não tributado,
PR800025,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  inciso II do § 2º do art. 411  do RICMS/2017,Não tributado,
PR800026,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme inciso II do art. 415 do RICMS/2017,Não tributado,
PR800027,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme inciso II do art. 416 do RICMS/2017,Não tributado,
PR800028,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme art. 419 do RICMS/2017,Não tributado,
PR800029,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  alínea 'b' do inciso I do art. 425  do RICMS/2017,Não tributado,
PR800030,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  inciso II do art. 425  do RICMS/2017,Não tributado,
PR800031,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  alínea 'a' do inciso I do art. 430  do RICMS/2017,Não tributado,
PR800032,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme inciso II do art. 430  do RICMS/2017,Não tributado,
PR800033,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  art. 439  do RICMS/2017,Não tributado,
PR800034,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme  § 3º do art. 440  do RICMS/2017,Não tributado,
PR800035,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme art. 472 do RICMS/2017,Não tributado,
PR800036,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme inciso I do art. 497 e alínea 'a' do inciso II do art. 499 do RICMS/2017,Não tributado,
PR800037,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme alínea 'a' do inciso I do § 1º  art. 497 e alínea 'c' do inciso II do art. 499 do RICMS/2017,Não tributado,
PR800038,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme alínea 'b' do inciso II do art. 499 e  inciso II do art. 499-A do RICMS/2017,Não tributado,
PR800039,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme art. 518 do RICMS/2017,Não tributado,
PR800040,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme inciso I do art. 518 do RICMS/2017,Não tributado,
PR800041,,,,,,SIM,,,,,,9092019,,Sem destaque do ICMS conforme arts. 538 e 539 do RICMS/2017,Não tributado,
PR800042,,,,,,SIM,,,,,,9092019,,"Sem destaque do ICMS conforme art. 578, 'caput' do RICMS/2017",Não tributado,
PR800043,,,,,,SIM,,,,,,9092019,,"Sem destaque do ICMS conforme art. 578, § 4º, inciso II, item 2, do RICMS/2017",Não tributado,
PR800044,,,,,,SIM,,,,,,9092019,,"Sem destaque do ICMS conforme Anexo VIII, arts. 8º, inciso I, alínea 'c', e 9º, inciso I, do RICMS/2017",Não tributado,
PR800045,,,,,,SIM,,,,,,9092019,,"Sem destaque do ICMS conforme Anexo IV, Subanexo II, arts. 31 e 33,do RICMS/2017",Não tributado,
PR800046,,,,SIM,,SIM,,,,,,9092019,,"Sem destaque do ICMS conforme Anexo IV, Subanexo I, art.14, do RICMS/2017",Não tributado,
PR800047,,,,,,SIM,,,,,,1122019,,"Imunidade por se tratar de operação equiparada a exportação, descrita no item 50 do Anexo V do RICMS/2017, conforme Consulta nº 052/2018 do Setor Consultivo da REPR.",Imunidade,
PR809997,,,,,,SIM,,,,,,1122019,,Não incidência reconhecida em solução de consulta do Setor Consultivo da REPR/IGT,Não tributado,
PR809998,,,, ,,SIM,,,,,,9092019,,Operação ou prestação não tributada sem código específico,Imunidade ou não incidência,
PR809999,,,,SIM,,SIM,,,,,,1082018,,Não Incidência prevista em regime especial e/ou programa de incentivo,Isenção,
PR810000,,,,SIM,SIM,,,,,,,1082018,,Isenção do pagamento do imposto reconhecida judicialmente,Isenção,
PR810001,,,,,SIM,,,,,,,1082018,,Isenção prevista no item 1 do Anexo V do RICMS/2017,Isenção,
PR810002,,,,,SIM,,,,,,,1082018,,Isenção prevista no item 2 do Anexo V do RICMS/2017,Isenção,
PR810003,,,,,SIM,,,,,,,1082018,,Isenção prevista no item 3 do Anexo V do RICMS/2017,Isenção,
PR810004,,,,,SIM,,,,,,,1082018,,Isenção prevista no item 4 do Anexo V do RICMS/2017,Isenção,
PR810005,,,,,SIM,,,,,,,1082018,,Isenção prevista no item 5 do Anexo V do RICMS/2017,Isenção,
PR810006,,,,,SIM,,,,,,,1082018,,Isenção prevista no item 6 do Anexo V do RICMS/2017,Isenção,
