CÓDIGO,CST 00,CST 10,CST 20,CST 30,CST 40,CST 41,CST 50,CST 51,CST 60,CST 70,CST 90,DATA INÍCIO,DATA FIM,DESCRIÇÃO,OBSERVAÇÃO,col_16
,SIM,SIM,,SIM,,SIM,SIM,,SIM,,SIM,,,SEM PREENCHIMENTO DO cBenef,,
SEM cBenef,,,,,,,,,,,,,,ITEM SEM cBenef E UF EXIGE cBenef PARA O CST,Informar apenas com letras maiúsculas.,
RJ801001,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801001|Convênio AE 5 de 1972 - Isenção|01042019|,,
RJ823002,,,,,,,,,,,,2019-04-01 00:00:00,,RJ823002|Convênio AE 15 de 1974 - Suspensão|01042019|,,
RJ801003,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801003|Convênio do Rio de Janeiro I de 1967 - Isenção|01042019|,,
RJ801004,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801004|Convênio do Rio de Janeiro V de 1968 - Isenção|01042019|,,
RJ801005,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801005|Convênio ICM 01 de 1975 - Isenção|01042019|,,
RJ801006,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801006|Convênio ICM 10 de 1975 - Isenção|01042019|,,
RJ801007,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801007|Convênio ICM 12 de 1975 - Isenção|01042019|,,
RJ802008,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802008|Convênio ICM 15 de 1981 - Redução de Base de Cálculo|01042019|,,
RJ808009,,,,,,,,,,,,2019-04-01 00:00:00,,RJ808009|Convênio ICM 24 de 1975 - Ampliação de prazo de pagamento|01042019|,,
RJ801010,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801010|Convênio ICM 26 de 1975 - Isenção|01042019|,,
RJ803010,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803010|Convênio ICM 26 de 1975 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801011,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801011|Convênio ICM 32 de 1975 - Isenção|01042019|,,
RJ801012,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801012|Convênio ICM 33 de 1977 - Isenção|01042019|,,
RJ801013,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801013|Convênio ICM 35 de 1977 - Isenção|01042019|,,
RJ801014,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801014|Convênio ICM 38 de 1982 - Isenção|01042019|,,
RJ801015,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801015|Convênio ICM 40 de 1975 - Isenção|01042019|,,
RJ801016,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801016|Convênio ICM 44 de 1975 - Isenção|01042019|,,
RJ801017,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801017|Convênio ICM 65 de 1988 - Isenção|01042019|,,
RJ803017,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803017|Convênio ICM 65 de 1988 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801018,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801018|Convênio ICMS 1 de 1991 - Isenção|01042019|,,
RJ801019,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801019|Convênio ICMS 1 de 1999 - Isenção|01042019|,,
RJ803019,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803019|Convênio ICMS 1 de 1999 - Inexigibilidade de estorno de crédito|01042019|,,
RJ801020,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801020|Convênio ICMS 1 de 2013 - Isenção|01042019|,,
RJ802020,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802020|Convênio ICMS 1 de 2013 - Redução de Base de Cálculo|01042019|,,
RJ801021,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801021|Convênio ICMS 3 de 1990 - Isenção|01042019|,,
RJ801022,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801022|Convênio ICMS 3 de 2006 - Isenção|01042019|,,
RJ801023,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801023|Convênio ICMS 3 de 2010 - Isenção|01042019|,,
RJ801024,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801024|Convênio ICMS 3 de 2018 - Isenção|01042019|,,
RJ802024,,,SIM,,,,,,,SIM,,2019-04-01 00:00:00,,RJ802024|Convênio ICMS 3 de 2018 - Redução de Base de Cálculo|01042019|,,
RJ803024,,,,,,,,,,,,2019-04-01 00:00:00,,RJ803024|Convênio ICMS 3 de 2018 - Inexigibilidade de estorno de crédito|01042019|,,
RJ823024,,,,,,,,,,,,2019-04-01 00:00:00,,RJ823024|Convênio ICMS 3 de 2018 - Suspensão|01042019|,,
RJ801025,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801025|Convênio ICMS 4 de 1997 - Isenção|01042019|,,
RJ821025,,,,,,,,,,,SIM,2019-04-01 00:00:00,,RJ821025|Convênio ICMS 4 de 1997 - Repasse do Crédito Fiscal|01042019|,,
RJ801026,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801026|Convênio ICMS 4 de 1998 - Isenção|01042019|,,
RJ801027,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801027|Convênio ICMS 5 de 1993 - Isenção|01042019|,,
RJ801028,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801028|Convênio ICMS 5 de 2000 - Isenção|01042019|,,
RJ801029,,,,SIM,SIM,,,,,,,2019-04-01 00:00:00,,RJ801029|Convênio ICMS 5 de 2008 - Isenção|01042019|,,
