CÓDIGO,CST 00,CST 10,CST 20,CST 30,CST 40,CST 41,CST 50,CST 51,CST 60,CST 70,CST 90,DATA INÍCIO,DATA FIM,DESCRIÇÃO,OBSERVAÇÃO
NULO,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,1102016,10052020,SEM PREENCHIMENTO DO cBenef,*CAMPO NULO OU INEXISTENTE. Não se aplica à homologação
SEM CBENEF,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,1102016,10052020,ITEM SEM cBenef E UF EXIGE cBenef PARA O CST,Informar apenas com letras maiúsculas. Não se aplica à homologação
NULO,SIM,,,,,,,,,,,11052020,,SEM PREENCHIMENTO DO cBenef,*CAMPO NULO OU INEXISTENTE. Data de início em ambiente de homologação: 01/08/2019
SEM CBENEF,,,,,,,,,,,SIM,11052020,,ITEM SEM cBenef E UF EXIGE cBenef PARA O CST,Informar apenas com letras maiúsculas. Data de início em ambiente de homologação: 01/08/2019
RS051001,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,II -REPRODUTORES OU MATRIZES",
RS051002,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,III -EMBRIOES OU SEMEM CONGEL OU RESFR",
RS051003,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,IV -EQUINOS",
RS051004,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,V -AMOSTRA DIMINUTO OU NENHUM VAL COMER",
RS051005,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,VI -EXPOSICOES OU FEIRAS-SAIDAS",
RS051006,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,VII -EXPOSICOES OU FEIRAS-RETORNO",
RS051007,,,,SIM,SIM,,,,,,,1102016, ,"LIVRO I,9,VIII -INSUMOS AGROPECUARIOS",
RS051008,,,,SIM,SIM,,,,,,,1102016, ,"LIVRO I,9,IX -PROD P/ALIM ANIMAL/FABRICACAO RACAO",
RS051009,,,,SIM,SIM,,,,,,,1102016, ,"LIVRO I,9,X -BULBOS DE CEBOLA",
RS051010,,,,SIM,SIM,,,,,,,1102016, ,"LIVRO I,9,XI -POS-LARVA DE CAMARAO",
RS051011,,,,SIM,SIM,,,,,,,1102016, ,"LIVRO I,9,XII -VASILHAMES,RECIP E EMBALAG-SAIDAS",
RS051012,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,XIII -VASILHAMES,RECIP,EMBALAG -RETORNO",
RS051013,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,XIV -BOTIJOES VAZIOS DE GLP",
RS051014,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,XV -FORNECIMENTO DE REFEICOES",
RS051016,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,XVII -OVOS",
RS051017,,,,SIM,SIM,,,,,,,1102016,,"LIVRO I,9,XVIII -FLORES NATURAIS",
RS051018,,,,SIM,SIM,,,,,,,1102016, ,"LIVRO I,9,XIX -HORTIFRUTIGRANJEIROS",
